,ray,prefect,svelte,click,requests,great_expectations,databases,fastapi,django,pandas,airflow,elasticsearch,ansible,axios,express,jinja,redux,scikit-learn,lodash,pytest,localstack,prisma,pytorch
airflow,0.999907374382019,0.9998199939727783,0.9852109551429749,0.9998852610588074,0.9998446106910706,0.9986603856086731,0.9998472929000854,0.9997739195823669,0.9997522830963135,0.9997871518135071,0.9999999403953552,0.9998123645782471,0.9998376369476318,0.9844484329223633,0.9852877855300903,0.9994338750839233,0.9845485091209412,0.998930811882019,0.9851081371307373,0.9998170137405396,0.9996911287307739,0.9843442440032959,0.9994113445281982
elasticsearch,0.9997544288635254,0.9997966885566711,0.9853449463844299,0.999759316444397,0.9997712969779968,0.9987495541572571,0.9997944235801697,0.9998688101768494,0.9997551441192627,0.9997612833976746,0.9998123645782471,1.0000001192092896,0.9998424053192139,0.9845405220985413,0.9854633808135986,0.999546468257904,0.9846602082252502,0.9991053938865662,0.9852666854858398,0.9997888207435608,0.9997270703315735,0.9844275712966919,0.9995853304862976
ansible,0.9998053312301636,0.9998851418495178,0.9854996204376221,0.9997689127922058,0.9997400641441345,0.9986936450004578,0.999747097492218,0.9998037219047546,0.9998286962509155,0.9998041391372681,0.9998376369476318,0.9998424053192139,0.9999999403953552,0.9847361445426941,0.9855461120605469,0.9996450543403625,0.9848242402076721,0.9991784691810608,0.9854052662849426,0.9998227953910828,0.9996896982192993,0.9846335649490356,0.9996404647827148
axios,0.9848864078521729,0.9846363067626953,0.9997526407241821,0.9841790795326233,0.9840903282165527,0.9835626482963562,0.9841656684875488,0.984534502029419,0.985091507434845,0.9844390153884888,0.9844484329223633,0.9845405220985413,0.9847361445426941,1.0,0.999696671962738,0.985439658164978,0.9998639822006226,0.9842013716697693,0.9997971653938293,0.9844816327095032,0.9834248423576355,0.9998857975006104,0.9857476949691772
express,0.9856818914413452,0.9854148626327515,0.9996520280838013,0.9850379824638367,0.9851154088973999,0.9845219850540161,0.9851600527763367,0.9854879379272461,0.985919177532196,0.9852519035339355,0.9852877855300903,0.9854633808135986,0.9855461120605469,0.999696671962738,1.0000001192092896,0.986269474029541,0.9997543692588806,0.9850195050239563,0.999788761138916,0.9853071570396423,0.9844487309455872,0.9997125864028931,0.986503541469574
jinja,0.999412477016449,0.9995647072792053,0.9862654209136963,0.9993759989738464,0.999448299407959,0.998733639717102,0.9994643330574036,0.99956876039505,0.9996256828308105,0.9994310140609741,0.9994338750839233,0.999546468257904,0.9996450543403625,0.985439658164978,0.986269474029541,1.0,0.9855470061302185,0.9991416931152344,0.9862030744552612,0.9994803667068481,0.9993326663970947,0.9853888154029846,0.9997541904449463
redux,0.9849886298179626,0.9847314357757568,0.9997761845588684,0.9843015074729919,0.9842177033424377,0.9837570786476135,0.9842545986175537,0.9846623539924622,0.9852249622344971,0.9845155477523804,0.9845485091209412,0.9846602082252502,0.9848242402076721,0.9998639822006226,0.9997543692588806,0.9855470061302185,0.9999999403953552,0.9842596650123596,0.9998385906219482,0.9846280813217163,0.9836043119430542,0.9998975396156311,0.9858059883117676
scikit-learn,0.9988480806350708,0.9990556240081787,0.9850813746452332,0.9988455772399902,0.9989036917686462,0.998455286026001,0.9989060163497925,0.9990547299385071,0.999058187007904,0.9990545511245728,0.998930811882019,0.9991053938865662,0.9991784691810608,0.9842013716697693,0.9850195050239563,0.9991416931152344,0.9842596650123596,1.0,0.9849730730056763,0.9989525079727173,0.9988657236099243,0.9841428399085999,0.9991337656974792
lodash,0.9855407476425171,0.9853049516677856,0.9997844696044922,0.9848821759223938,0.9848470091819763,0.984429121017456,0.9849032163619995,0.9853029251098633,0.985804557800293,0.9851115942001343,0.9851081371307373,0.9852666854858398,0.9854052662849426,0.9997971653938293,0.999788761138916,0.9862030744552612,0.9998385906219482,0.9849730730056763,1.0,0.9852229356765747,0.9842984676361084,0.9998431205749512,0.9865216612815857
pytest,0.9998016357421875,0.9998414516448975,0.985314667224884,0.999800443649292,0.9997144937515259,0.9987720251083374,0.9997043609619141,0.9998310804367065,0.9997971057891846,0.9998038411140442,0.9998170137405396,0.9997888207435608,0.9998227953910828,0.9844816327095032,0.9853071570396423,0.9994803667068481,0.9846280813217163,0.9989525079727173,0.9852229356765747,1.0000001192092896,0.9997543096542358,0.9844119548797607,0.9995564222335815
localstack,0.9996747970581055,0.9996570348739624,0.9843266606330872,0.9997275471687317,0.999686062335968,0.9987561106681824,0.9996702075004578,0.999763548374176,0.9995803236961365,0.9996430277824402,0.9996911287307739,0.9997270703315735,0.9996896982192993,0.9834248423576355,0.9844487309455872,0.9993326663970947,0.9836043119430542,0.9988657236099243,0.9842984676361084,0.9997543096542358,0.9999999403953552,0.9833414554595947,0.9993866682052612
prisma,0.9847960472106934,0.9845753908157349,0.9998165369033813,0.9840832948684692,0.9839677214622498,0.9834851026535034,0.9840473532676697,0.9844309687614441,0.984994649887085,0.9843209981918335,0.9843442440032959,0.9844275712966919,0.9846335649490356,0.9998857975006104,0.9997125864028931,0.9853888154029846,0.9998975396156311,0.9841428399085999,0.9998431205749512,0.9844119548797607,0.9833414554595947,1.0,0.9856599569320679
pytorch,0.9994438886642456,0.9995734691619873,0.986526370048523,0.9993480443954468,0.9994107484817505,0.9987066984176636,0.999464750289917,0.9995890855789185,0.999596118927002,0.9994735717773438,0.9994113445281982,0.9995853304862976,0.9996404647827148,0.9857476949691772,0.986503541469574,0.9997541904449463,0.9858059883117676,0.9991337656974792,0.9865216612815857,0.9995564222335815,0.9993866682052612,0.9856599569320679,0.9999999403953552
